order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Getting Started,Introduction,Getting-Started/intro,info-circle,/lessons/Getting-Started/intro,The introduction to this course.
01B,Getting Started,Getting Started,Getting-Started/GettingStarted,info-circle,/lessons/Getting-Started/GettingStarted,What is JavaScript?
01C,Getting Started,Simple Exercises,Getting-Started/SimpleExercises,info-circle,/lessons/Getting-Started/SimpleExercises,For beginners
01D,Getting Started,Homework Assignment,Getting-Started/HomeWork,info-circle,/lessons/Getting-Started/HomeWork,For practice
02A,Variables and Data Types,Variables and Data Types,Variables-and-Data-Types/Variables,info-circle,/lessons/Variables-and-Data-Types/Variables,Variables and Data Types
02B,Variables and Data Types,Exercises,Variables-and-Data-Types/Exercises,info-circle,/lessons/Variables-and-Data-Types/Exercises,Variables and Data Types Exercises
02C,Variables and Data Types,DOM Exercises,Variables-and-Data-Types/DOM Exercises,info-circle,/lessons/Variables-and-Data-Types/DOM Exercises,DOM Exercises
02D,Variables and Data Types,DOM Exercises Answers,Variables-and-Data-Types/DOM Answers,info-circle,/lessons/Variables-and-Data-Types/DOM Answers,DOM Exercises Answers
03A,Operators and Expressions,Operators and Expressions,Operators and Expressions/Expressions-and-Operators,info-circle,/lessons/Operators and Expressions/Expressions-and-Operators,Operators and Expressions
03B,Operators and Expressions,Operators and Expressions Exercises,Operators and Expressions/Exercises,info-circle,/lessons/Operators and Expressions/Exercises,Operators and Expressions Exercises
03C,Operators and Expressions,HTML Review,Operators and Expressions/HTML review,info-circle,/lessons/Operators and Expressions/HTML review,HTML Review
03D,Operators and Expressions,HTML Review 2,Operators and Expressions/HTML review2,info-circle,/lessons/Operators and Expressions/HTML review2,HTML Review 2
03E,Operators and Expressions,HTML Review 3,Operators and Expressions/HTML review3,info-circle,/lessons/Operators and Expressions/HTML review3,HTML Review 3
0401,Arrays,Arrays Introduction,Arrays/Arrays Introduction,info-circle,/lessons/Arrays/Arrays Introduction,""
0402,Arrays,Array Methods,Arrays/Array Methods,info-circle,/lessons/Arrays/Array Methods,""
0403,Arrays,Array Exercises,Arrays/Array Exercises,info-circle,/lessons/Arrays/Array Exercises,""
0404,Arrays,Array and DOM,Arrays/Array and DOM,info-circle,/lessons/Arrays/Array and DOM,""
0405,Arrays,More List Exercises,Arrays/More List Exercises,info-circle,/lessons/Arrays/More List Exercises,""
0501,Objects,Introduction to JavaScript Objects,Objects/Objects_Introduction,info-circle,/lessons/Objects/Objects_Introduction,""
0502,Objects,Manipulating Javascript Objects,Objects/Manipulating_Objects,info-circle,/lessons/Objects/Manipulating_Objects,""
0503,Objects,Advanced JavaScript Objects,Objects/Advanced-Javascript-Objects,info-circle,/lessons/Objects/Advanced-Javascript-Objects,""
0504,Objects,Object Exercises,Objects/ObjectExercises,info-circle,/lessons/Objects/ObjectExercises,""
0505,Objects,Programming Exercises Using Objects ,Objects/ObjectExercise,info-circle,/lessons/Objects/ObjectExercise,""
0506,Objects,Answers to Programming Exercises Using Objects ,Objects/Answers,info-circle,/lessons/Objects/Answers,""
0507,Objects,Interesting Object Exercises ,Objects/MoreExercises,info-circle,/lessons/Objects/MoreExercises,""
